"Страна";"Дата";"Заражений";"Выздоровлений";"Смертей";"Заражений за день";"Выздоровлений за день";"Смертей за день"
Киргизия;29.09.2020;46522;42761;1064;167;148;0
Франция;12.06.2020;195980;72695;29377;801;426;28
Колумбия;04.08.2020;334979;180258;11315;7129;6531;298
Гайана;22.03.2020;19;0;1;12;0;0
Таиланд;16.06.2020;3135;2993;58;0;6;0
Маврикий;03.05.2020;332;315;10;0;1;0
Люксембург;30.05.2020;4016;3815;110;4;0;0
Сомали;12.12.2020;4579;3529;121;0;0;0
Танзания;02.12.2020;509;183;21;0;0;0
Замбия;02.10.2020;14830;13980;333;28;19;0
Сьерра-Леоне;25.11.2020;2408;1829;74;2;0;0
Мадагаскар;23.09.2020;16167;14788;226;31;45;0
Micronesia;30.10.2020;0;0;0;0;0;0
Австралия;12.09.2020;26651;20346;810;44;11;7
Венесуэла;30.05.2020;1459;302;14;89;0;0
Турция;07.05.2020;133721;82984;3641;1977;4782;57
Чехия;27.12.2020;670599;565841;11044;3030;2387;94
Великобритания;14.12.2020;1874725;4051;64500;20372;35;233
Мальдивы;10.10.2020;10859;9683;34;51;29;0
Черногория;20.10.2020;15892;11581;247;132;293;7
Афганистан;18.08.2020;37685;27166;1379;3;0;0
Мали;17.03.2020;0;0;0;0;0;0
Гвинея;09.11.2020;12459;10847;74;45;30;0
Казахстан;21.04.2020;1995;489;19;143;42;0
Мексика;12.02.2020;0;0;0;0;0;0
Индия;23.09.2020;5732518;4674987;91149;86508;87374;1129
Того;01.08.2020;958;647;19;17;6;0
Судно "Diamond Princess";24.01.2020;0;0;0;0;0;0
Египет;21.10.2020;105883;98516;6155;178;103;13
Лаос;09.12.2020;41;28;0;0;0;0
Нигер;15.08.2020;1165;1077;69;4;2;0
Новая Зеландия;13.08.2020;1602;1531;23;13;0;0
Греция;07.12.2020;116721;93764;3092;1250;0;89
Барбадос;30.05.2020;92;76;7;0;0;0
Испания;29.05.2020;238564;150376;27121;658;0;2
Коморские острова;29.05.2020;87;24;2;0;0;0
Ангола;11.09.2020;3279;1288;131;62;11;1
Antarctica;17.12.2020;0;0;0;0;0;0
Украина;16.09.2020;166694;74981;3404;3016;1559;78
Сент-Люсия;23.01.2020;0;0;0;0;0;0
Гамбия;01.02.2020;0;0;0;0;0;0
Гондурас;14.02.2020;0;0;0;0;0;0
Германия;02.07.2020;195228;179800;8994;503;700;9
Бутан;04.12.2020;424;387;0;6;1;0
Парагвай;15.04.2020;174;23;8;13;1;0
Эсватини;29.08.2020;4510;3359;91;49;149;0
Кипр;24.11.2020;8947;2055;44;304;0;0
Таиланд;28.11.2020;3966;3800;60;5;2;0
Джибути;28.02.2020;0;0;0;0;0;0
Маврикий;08.11.2020;455;416;10;0;0;0
Гренада;02.04.2020;10;0;0;1;0;0
Франция;02.12.2020;2299501;171197;53906;14228;1534;311
Колумбия;28.01.2020;0;0;0;0;0;0
Нидерланды;07.04.2020;20678;22;2108;975;14;234
Камерун;26.04.2020;1621;786;56;103;89;3
Судан;15.04.2020;32;4;5;3;0;0
Бахрейн;16.10.2020;77325;73421;292;371;408;3
Тонга;16.10.2020;0;0;0;0;0;0
Португалия;04.10.2020;79151;50207;2005;904;362;10
Сейшельские острова;07.06.2020;11;11;0;0;0;0
Эквадор;11.03.2020;17;0;0;2;0;0
Словакия;09.12.2020;150345;89769;1084;5524;2336;38
Монголия;07.04.2020;15;4;0;1;2;0
Либерия;11.07.2020;963;420;47;6;20;5
Вануату;13.07.2020;0;0;0;0;0;0
Малави;20.12.2020;6161;5663;187;8;1;0
Исландия;27.01.2020;0;0;0;0;0;0
Нигерия;04.04.2020;214;25;4;4;0;0
Италия;13.05.2020;222104;112541;31106;888;3502;195
Камбоджа;13.12.2020;359;309;0;0;2;0
Португалия;28.02.2020;0;0;0;0;0;0
Тунис;12.06.2020;1093;995;49;6;6;0
Экваториальная Гвинея;25.02.2020;0;0;0;0;0;0
Сент-Винсент и Гренадины;24.01.2020;0;0;0;0;0;0
Кабо-Верде;21.09.2020;5281;4674;52;24;75;1
Гватемала;21.03.2020;17;0;1;5;0;0
Молдавия;28.03.2020;231;2;2;32;0;0
Бенин;28.03.2020;6;0;0;0;0;0
Сан-Томе и Принсипи;01.10.2020;911;886;15;0;0;0
Сингапур;29.01.2020;7;0;0;0;0;0
Иран;03.02.2020;0;0;0;0;0;0
Азербайджан;18.09.2020;38894;36424;572;117;135;1
Чили;02.10.2020;466590;439607;12867;1840;1459;45
Италия;21.07.2020;244752;197431;35073;128;269;15
Вьетнам;03.08.2020;652;374;7;31;1;1
Чад;11.12.2020;1745;1595;102;6;8;0
